name
Aaliyah
Britney Spears
Blythe Danner
Berry Berenson
Charlize Theron
Courtney Love
Caitlin Clarke
Carol Kane
Calista Flockhart
Drew Barrymore
Doris Day
Dolly Parton
Dana Plato
Dolores Fuller
Elizabeth Gracen
Eve Arden
Elyssa Davalos
Fay Wray
Halle Berry
Jennifer Lopez
Julia Roberts
Khandi Alexander
Katina Paxinou
Kirsten Dunst
Leslie Caron
Mary Pickford
Marilyn Monroe
Mariah Carey
Mary Tyler Moore
Nancy Reagan
Nancy Sinatra
Paula Abdul
Peggy Lee
Ruth Gordon
Robin Wright
Shannon Elizabeth
Sheryl Crow
Sarah Michelle Gellar
Salma Hayek
Sandra Bullock
Sonja Henie
Tiffani Thiessen
Whitney Houston
Winona Ryder
Yeardley Smith
Melissa Sue Anderson
Denise Richards
Natalie Portman
Eileen Heckart
Mary Martin
Jennifer Aniston
Ingrid Bergman
Cameron Diaz
Gillian Anderson
Elizabeth Taylor
Grace Kelly
Gwyneth Paltrow
Sharon Stone
Ashley Judd
Ava Gardner
Rebecca De Mornay
Barbara Stanwyck
Katharine Hepburn
Andie MacDowell
Cybill Shepherd
Alyson Hannigan
Rosie O'Donnell
Carole Lombard
Thora Birch
Glenn Close
Helen Hunt
Sharon Tate
Janet Gaynor
Joan Crawford
Goldie Hawn
Ella Fitzgerald
Carmen Miranda
Meg Ryan
Tracey Ullman
Majel Barrett
Whoopi Goldberg
Gwen Verdon
Anita O'Day
Judy Garland
Liza Minnelli
Alicia Keys
Janet Jackson
Claudette Colbert
Norma Shearer
Michelle Pfeiffer
Linda Hamilton
Meryl Streep
Greta Garbo
Bette Davis
Jane Fonda
Sissy Spacek
Ginger Rogers
Rosemary Clooney
Sigourney Weaver
Asia Carrera
Zoë Wanamaker
Robin Givens
Ami Dolenz
Jennifer Jones
Jessica Lange
Faye Dunaway
Susan Sarandon
Anna Nicole Smith
Jamie Lee Curtis
Selena
Alicia Silverstone
Gracie Allen
Debbie Reynolds
Barbra Streisand
Katy Jurado
Jenna Jameson
Rose Hobart
Natalie Wood
Uma Thurman
Cher
Kate Mulgrew
Mary-Kate Olsen
Tina Turner
Marilyn Chambers
Lea DeLaria
Jessica Tandy
Jean Seberg
Molly Ringwald
Cyndi Lauper
Peggy Cass
Sandra Bernhard
Olivia de Havilland
Kerri Green
Martha Plimpton
Anne Ramsey
Margaret Cho
Loretta Swit
Debi Mazar
Gilda Radner
Hilary Swank
Hattie McDaniel
Reese Witherspoon
Gates McFadden
Roseanne Barr
Tori Spelling
Ethel Merman
Martika
Julia Louis-Dreyfus
Tina Fey
Jane Curtin
Laraine Newman
Soleil Moon Frye
Christine Taylor
Clara Bow
Julie Kavner
Tress MacNeille
Marcia Wallace
Madonna
Lucy Liu
Lily Tomlin
Tera Patrick
Christina Aguilera
Brandy Norwood
Carol Haney
Marlene Dietrich
Nichelle Nichols
Danica McKellar
Brook Kerr
Crystal McKellar
Raquel Welch
Ruth Brown
Shirley MacLaine
Myrna Loy
Margaux Hemingway
Melissa Joan Hart
Tatyana Ali
Queen Latifah
Texas Guinan
Danielle Fishel
Carole King
Donna Summer
Mae Whitman
Zsa Zsa Gabor
Eva Gabor
Magda Gabor
Kathryn Grayson
Diana Ross
Christy Carlson Romano
Debbie Gibson
Mary Steenburgen
Lalaine
Haylie Duff
Charisma Carpenter
Phoebe Cates
Milla Jovovich
Jewel (singer)
Michelle Forbes
Lisa Bonet
Kim Hunter
Linda Ronstadt
Kyla Pratt
Cynthia Nixon
Elsa Lanchester
Jodie Sweetin
The Andrews Sisters
Samantha Smith
Lauryn Hill
Dina Merrill
Bonnie Hunt
Gale Storm
Angela Lansbury
LaVern Baker
Brittany Murphy
Connie Francis
Dionne Warwick
H.D.
Charo
Lisa Kudrow
Heather Graham
Suzanne Crough
Shirley Jones
Susan Dey
Hedy Lamarr
Leelee Sobieski
Ethel Waters
Louise Dresser
Gloria Swanson
Ruth Chatterton
Betty Compson
Jeanne Eagels
Corinne Griffith
Mae West
Nell Carter
