name
Christopher Walken
Kris Kristofferson
F. Murray Abraham
Sam Waterston
William Hurt
James Garner
Master P
James Woods
Vincent Schiavelli
Billy Ray Cyrus
Chico Marx
Dwight Yoakam
David Schwimmer
Don O'Kelly
LL Cool J
Brian Forster
Danny Bonaduce
Jeremy Gelbwaks
Matthew Wood
Edward James Olmos
Sam Shepard
Robert Downey Jr.
B. J. Thomas
Richard Crenna
Juvenile
Chris Rock
Woody Harrelson
Peter Fonda
Richard Farnsworth
Ed Harris
Luis Vigoreaux
Harold Lloyd
Richard Keith
Edward G. Robinson
John Malkovich
Charles Ludlam
Gene Autry
Chris Smith
Buster Crabbe
Tommy Muñiz
Hoagy Carmichael
Zeppo Marx
Burt Reynolds
Ray Bolger
Joaquin Phoenix
Matt Frewer
Buddy Ebsen
Will Ferrell
Bob Denver
Liberace
Adalberto Rodríguez
Steve Buscemi
Pierce Brosnan
Robert Young
Russ Meyer
Frankie Valli
Alec Baldwin
Stephen Baldwin
William Baldwin
Chris Tucker
Edward Everett Horton
Jack Pickford
Roy Rogers
Hal Linden
Charles Correll
Freeman Gosden
Bert Williams
Tim Allen
Jason Marsden
Jackie Coogan
Redd Foxx
Joe Pantoliano
Edward F. Cline
Sammy Davis Jr.
Carlos Bernard
Spalding Gray
Matthew Broderick
Don Johnson
Frank Evans
Adrien Brody
John Gilbert
Sid Caesar
Jack Mercer
Michael Jeter
Sean Gullette
Divine
Dick Powell
Dick Gregory
Brandon Lee
Charles Bronson
Vince Neil
Tonio Selwart
Casey Kasem
W. C. Fields
Morey Amsterdam
Ricky Schroder
Macaulay Culkin
Ben Vereen
Willem Dafoe
James Marsters
Nicholas Brendon
Dennis O'Keefe
Usher
Ted Danson
Richard Lewis
Vincent Gallo
Rob Schneider
Luke Perry
Kurt Russell
Harvey Fierstein
Kevin Kline
Ian Ziering
Rob Lowe
John Cusack
Jonathan Winters
Brian Austin Green
Sam Wanamaker
Charles Grodin
Sid Davis
Robert Stack
Richard Dawson
Ray Romano
Tennessee Ernie Ford
Robert Vaughn
Douglas Fairbanks Jr.
Arthur Q. Bryan
Vincent D'Onofrio
Richard Pryor
Ben Turpin
Pigmeat Markham
Matthew Perry
Chris Isaak
Michael Keaton
Jon Stewart
C. Thomas Howell
Leo Carrillo
Anthony Michael Hall
Robert Blake
Eddie Cantor
Don Adams
Josh Taylor
Ed Wynn
Jim Backus
Ray Walston
Richard Basehart
Josh Hartnett
Paul Walker
James Maxwell
Carroll O'Connor
Ryan Phillippe
Dash Mihok
Tommy Lee Jones
James MacArthur
Red Skelton
Fred Allen
Ormer Locklear
Al Franken
Tom Kenny
Albert Hall
George Reeves
Jackie Earle Haley
Jim Varney
Buddy Hackett
Christopher Lloyd
William Frawley
Christian Kane
Christian Slater
Martin Landau
Ahmed Best
Paul Winchell
R. Lee Ermey
Richard Dean Anderson
Bill Maher
Cliff Edwards
Telly Savalas
Phil LaMarr
Jonathan Ke Quan
Eric Bogosian
John Goodman
Tim Robbins
Tim Conway
Don Knotts
Oscar Levant
Nathan Lane
John Ritter
Thomas F. Wilson
John Cassavetes
Scott Baio
Willie Aames
Lloyd Bridges
Ashton Kutcher
Richard Thomas
Brock Peters
Arsenio Hall
Mike Judge
Fred Willard
Haley Joel Osment
Tom Selleck
Joe Pesci
Harold Ramis
Perry Como
Charlie Sheen
Adam West
Mark Herron
Walter Koenig
Richard Mulligan
Richard Simmons
Benicio del Toro
Gregory Hines
Owen Wilson
Erich von Stroheim
Danny Aiello
John Astin
Andrew McCarthy
Brad Garrett
John Aniston
Sonny Tufts
Jake Thomas
Bruce Dern
Matt LeBlanc
Al Lewis
Kurtwood Smith
Hulk Hogan
Michael Landon
Andrew Robinson
Sorrell Booke
Danny Thomas
Jack Lord
Michael Dorn
Bill Paxton
George Murphy
Joe Walsh
Frankie Avalon
Rob Van Dam
Larry Shue
Lex Lang
John Turturro
Lon Chaney
Bobby Jordan
Richard Garrick
Phil Silvers
Noah Wyle
Jason Robards
Benjamin Bratt
Dennis Quaid
Ethyl Eichelberger
Jon Favreau
Tommy Chong
Larry Hovis
Lex Barker
Robert Taylor
Tex Ritter
Werner Klemperer
David Ogden Stiers
Keith Coogan
Richard Chamberlain
James Kirkwood Jr.
Johnnie Ray
Danny Pintauro
John Houseman
Sheb Wooley
Kid McCoy
Billy Zane
Larry Hagman
Gordon Jump
Jamie Foxx
Randy Quaid
Robert Goulet
Billy Preston
Russell Thaw
Gilbert Lewis
John C. McGinley
Donald O'Connor
Stephen Collins
Marc Anthony
Jason Ritter
Keir Dullea
Bill Fagerbakke
Rex Lease
Tony Danza
Lewis Black
Burgess Meredith
Stephen Colbert
Danny Trejo
Pat Morita
Dave Chappelle
Charley Chase
Paul Reiser
Sean Flynn
Keye Luke
Karl Malden
Tyler Hoechlin
Ricky Jay
Jack Black
Corey Burton
Andy García
Adam Busch
Danny Strong
Bronson Pinchot
Raul Julia
Fred Berry
George Hamilton
Conrad Bain
Emilio Estevez
James Brolin
John Forsythe
James Parrott
Phillip Terry
Audie Murphy
Robert Downey Sr.
George Takei
Sidney Lumet
Billy West
Matt Stone
Trey Parker
Ron Rifkin
Michael Vartan
Bradley Cooper
Carl Lumbly
Kevin Weisman
Patrick Leahy
Danny Glover
Gene Anthony Ray
Jonathan Brandis
Kyle Gass
Brad Davis
Paul Mazursky
Anthony Edwards
Mel Tormé
Adam Brody
David Baddiel
Marshall Applewhite
John Carradine
Iron Eyes Cody
Tom Berenger
Dan Butler
Thurl Ravenscroft
Edward Herrmann
Strother Martin
Seth MacFarlane
Alfred Drake
Demond Wilson
Jimmy Kimmel
Daws Butler
James Badge Dale
Judd Nelson
Brendan Fraser
Cesar Romero
Patrick McGoohan
John DiMaggio
Jimmy Smits
Carl Weathers
Emmett Dalton
Ray Combs
Ted Healy
William H. Macy
Edward Mulhare
Eric Roberts
Dick York
James Cromwell
Henry Winkler
Pete Duel
Roger Davis
John de Lancie
John Henry Faulk
Jeffrey Hunter
James Caan
Bert Lahr
Ed Ames
Judd Hirsch
Gedde Watanabe
Tom Sizemore
Ben Alexander
Nick Adams
Vin Diesel
Fred Grandy
David Caruso
Justin Kirk
Peter Dinklage
Verne Troyer
Martin Lawrence
John Trudell
Tony Shalhoub
Ozzie Nelson
Steven Tyler
Richard Karn
Haing S. Ngor
David Strickland
D. B. Sweeney
Joe Mantegna
Andreas Katsulas
Stephen Furst
David Gallagher
Robert Carradine
Matt Dillon
Chris Demetral
Earl Hindman
René Auberjonois
Jack Wrangler
Gene Wilder
Jim Belushi
Alexander Godunov
Charles Nelson Reilly
Andrew Dice Clay
Jason David Frank
Billy Dee Williams
Huntz Hall
Paul Gleason
George Wendt
Dennis Weaver
Gunnar Hansen
Bob Saget
Dick Sargent
Ben Johnson
Tony Randall
Topher Grace
Victor Mature
Lonny Chapman
Don Messick
Elroy Hirsch
Cheech Marin
Robert Duncan McNeill
Sydney Pollack
Kim Coates
John Billingsley
Steve Burns
Robert Davi
Ralph Nelson
Jim Brown
Peter Strauss
Brad Dourif
Orson Bean
Stanley Tucci
Ron Livingston
Carmine Caridi
Freddie Prinze Jr.
Gordon MacRae
Dick Van Dyke
Joseph Bologna
David Hyde Pierce
Moe Howard
Michael Biehn
Christopher Daniel Barnes
Michael V. Gazzo
Ray Goulding
Ned Austin
Merian C. Cooper
Peter Boyle
Marcus Chong
Bob Bell
Pat Hingle
Mickey Hargitay
Walter Brennan
Wally Cox
Robert Wagner
Goran Višnjić
Chester Lauck
Dave Attell
Jared Leto
Robert Patrick
Peter MacNicol
Jason Biggs
Emo Philips
Frank Welker
Jim Caviezel
John Saxon
Sam Kinison
Theodore Bikel
Max Baer
Harry Morgan
Patrick Swayze
Joe Viterelli
Darrell Hammond
Ward Bond
Chuck Connors
Wilson Cruz
Wilmer Valderrama
Cliff Arquette
John Randolph
Stacy Keach
Ray Liotta
Peter Graves
Jeffrey Combs
Jake Gyllenhaal
Jack Haley
Matthew Fox
Scott Wolf
Jeremy London
Scott Grimes
Robert Pastorelli
Alan Ladd
Ken Clark
Rob Zombie
Abe Vigoda
Don Ameche
Ralph Bellamy
